order_id,customer_id,order_date,status,payment_method,total_amount,shipping_days
ORD000051,C1033,2022-08-31,Pending,Debit Card,8686.04,
ORD000052,C0930,2024-01-04,Delivered,Net Banking,7157.68,5.0
ORD000053,C1351,2022-04-16,Cancelled,Debit Card,8238.22,
ORD000054,C0191,2022-06-08,Cancelled,UPI,10644.14,
ORD000055,C1298,2022-08-19,Delivered,UPI,1914.51,6.0
ORD000056,C0992,2022-01-11,Cancelled,Wallet,2340.54,
ORD000057,C1049,2022-11-09,Delivered,Debit Card,5639.47,5.0
ORD000058,C0561,2022-09-04,Delivered,Net Banking,8260.2,4.0
ORD000059,C0513,2022-03-30,Delivered,Debit Card,6049.92,8.0
ORD000060,C0888,2024-07-02,Delivered,UPI,6697.36,10.0
ORD000061,C0840,2023-08-25,Delivered,UPI,14428.88,2.0
ORD000062,C0020,2022-06-13,Delivered,UPI,1020.51,4.0
ORD000063,C1151,2022-05-16,Returned,UPI,12372.54,
ORD000064,C0406,2023-02-08,Delivered,UPI,6563.66,7.0
ORD000065,C0245,2022-09-12,Delivered,Wallet,10729.57,9.0
ORD000066,C0081,2022-06-22,Delivered,Net Banking,304.77,5.0
ORD000067,C0563,2023-10-12,Delivered,Credit Card,8709.8,6.0
ORD000068,C1921,2022-07-30,Returned,Debit Card,699.5,
ORD000069,C0216,2022-06-15,Delivered,UPI,5370.6,2.0
ORD000070,C0541,2023-11-06,Pending,Net Banking,13011.78,
ORD000071,C2000,2023-07-29,Delivered,Debit Card,5393.47,2.0
ORD000072,C0154,2022-09-11,Delivered,Net Banking,1178.01,7.0
ORD000073,C0385,2024-09-25,Delivered,Wallet,3002.55,9.0
ORD000074,C1759,2023-10-04,Returned,Wallet,3773.82,
ORD000075,C1052,2022-04-14,Delivered,Net Banking,2725.58,3.0
ORD000076,C0547,2022-02-28,Delivered,Credit Card,5485.01,8.0
ORD000077,C0559,2024-01-28,Delivered,Net Banking,3436.27,4.0
ORD000078,C0603,2023-01-23,Delivered,Wallet,8421.98,5.0
ORD000079,C0489,2022-05-15,Delivered,Credit Card,14306.09,3.0
ORD000080,C1031,2024-09-03,Delivered,Net Banking,6796.86,7.0
ORD000081,C0685,2022-01-11,Returned,Net Banking,1260.58,
ORD000082,C1195,2022-01-03,Delivered,UPI,5588.28,8.0
ORD000083,C1005,2022-06-29,Delivered,Debit Card,13455.56,6.0
ORD000084,C1020,2022-01-16,Delivered,Net Banking,1654.95,2.0
ORD000085,C1978,2023-07-15,Delivered,Credit Card,11269.03,7.0
ORD000086,C1629,2022-08-21,Delivered,UPI,10791.97,1.0
ORD000087,C0930,2022-03-25,Delivered,Credit Card,3213.87,1.0
ORD000088,C0515,2022-10-10,Delivered,Credit Card,7910.11,5.0
ORD000089,C0449,2022-03-07,Cancelled,UPI,7590.72,
ORD000090,C1648,2022-10-24,Delivered,Credit Card,3890.77,5.0
ORD000091,C1161,2024-08-02,Delivered,Net Banking,12218.25,2.0
ORD000092,C1548,2022-10-15,Delivered,Credit Card,18273.07,1.0
ORD000093,C0554,2022-11-29,Delivered,Wallet,51.78,8.0
ORD000094,C1415,2023-11-10,Delivered,Wallet,1565.12,3.0
ORD000095,C1152,2022-09-11,Delivered,Wallet,2364.62,4.0
ORD000096,C0235,2022-05-18,Delivered,Debit Card,108.57,4.0
ORD000097,C0213,2024-08-28,Delivered,Credit Card,3873.44,5.0
ORD000098,C0829,2024-09-17,Delivered,Wallet,9038.04,2.0
ORD000099,C0886,2022-10-27,Delivered,Debit Card,1482.56,3.0
ORD000100,C1048,2022-12-25,Delivered,Wallet,8920.93,7.0
ORD000101,C0023,2023-09-13,Delivered,UPI,642.07,3.0
ORD000102,C0959,2024-07-27,Delivered,UPI,6137.65,10.0
ORD000103,C0695,2024-07-30,Delivered,Net Banking,12575.19,10.0
ORD000104,C1350,2022-04-03,Delivered,Net Banking,13161.08,6.0
ORD000105,C1557,2023-04-20,Cancelled,Credit Card,7202.85,
ORD000106,C1254,2023-05-28,Delivered,UPI,603.68,10.0
ORD000107,C1293,2022-01-16,Delivered,Net Banking,6642.41,8.0
ORD000108,C1391,2022-05-27,Delivered,Credit Card,4737.41,2.0
ORD000109,C0417,2022-03-10,Delivered,Wallet,3175.08,8.0
ORD000110,C0390,2022-04-17,Delivered,Net Banking,13758.86,4.0
ORD000111,C0106,2022-11-04,Delivered,Wallet,7477.65,9.0
ORD000112,C0640,2024-03-28,Delivered,Credit Card,7346.22,4.0
ORD000113,C1011,2022-05-30,Cancelled,Debit Card,13278.0,
ORD000114,C0044,2022-01-29,Returned,Credit Card,4627.62,
ORD000115,C1132,2024-09-14,Delivered,Net Banking,543.27,7.0
ORD000116,C1126,2022-10-10,Returned,UPI,1086.61,
ORD000117,C0721,2023-02-01,Returned,Credit Card,4646.15,
ORD000118,C1789,2023-05-27,Delivered,Debit Card,1328.44,5.0
ORD000119,C0090,2023-10-06,Cancelled,Wallet,8994.75,
ORD000120,C0422,2024-10-10,Delivered,UPI,7761.76,6.0
ORD000121,C1430,2022-10-05,Returned,Debit Card,15643.69,
ORD000122,C1431,2024-06-20,Cancelled,Net Banking,12653.1,
ORD000123,C0788,2024-06-28,Delivered,Net Banking,1660.15,9.0
ORD000124,C0108,2023-09-17,Delivered,Wallet,2942.14,6.0
ORD000125,C1890,2023-06-22,Delivered,Net Banking,13664.55,8.0
ORD000126,C1528,2022-05-02,Delivered,UPI,7319.12,6.0
ORD000127,C1170,2024-03-19,Returned,UPI,668.72,
ORD000128,C1603,2022-01-26,Returned,Debit Card,3486.94,
ORD000129,C0909,2024-08-05,Delivered,UPI,1280.12,8.0
ORD000130,C1307,2023-03-23,Delivered,Debit Card,10582.2,3.0
ORD000131,C1785,2022-04-12,Delivered,Credit Card,4281.18,9.0
ORD000132,C1470,2023-04-12,Delivered,UPI,2330.43,9.0
ORD000133,C1472,2022-01-23,Delivered,Debit Card,16833.34,1.0
ORD000134,C0669,2024-01-08,Delivered,Wallet,6235.6,1.0
ORD000135,C0218,2022-11-08,Cancelled,Credit Card,6666.2,
ORD000136,C1346,2022-11-04,Delivered,Debit Card,10358.65,10.0
ORD000137,C0601,2022-05-05,Delivered,Net Banking,8708.57,6.0
ORD000138,C0164,2023-12-22,Delivered,Debit Card,10693.64,10.0
ORD000139,C0534,2022-05-27,Delivered,Net Banking,6675.17,1.0
ORD000140,C0342,2022-09-05,Pending,Wallet,9282.14,
ORD000141,C1882,2024-03-05,Pending,Credit Card,7797.55,
ORD000142,C0152,2023-12-28,Delivered,UPI,7561.04,8.0
ORD000143,C0777,2022-06-14,Delivered,Debit Card,13399.26,3.0
ORD000144,C0086,2023-03-08,Delivered,UPI,4470.59,5.0
ORD000145,C1242,2022-02-24,Delivered,Credit Card,3363.52,9.0
ORD000146,C1102,2023-02-04,Delivered,UPI,525.17,10.0
ORD000147,C0874,2022-08-16,Delivered,Debit Card,8665.82,2.0
ORD000148,C0670,2022-11-17,Delivered,Wallet,3251.42,7.0
ORD000149,C1787,2022-04-23,Delivered,UPI,1820.41,3.0
ORD000150,C0407,2022-11-22,Delivered,Credit Card,407.34,8.0
ORD000151,C1143,2023-03-04,Cancelled,Net Banking,1817.34,
ORD000152,C1087,2023-01-04,Delivered,Debit Card,10266.65,2.0
ORD000153,C1973,2023-08-12,Delivered,Net Banking,5906.27,8.0
ORD000154,C1231,2024-04-23,Delivered,UPI,3303.67,5.0
ORD000155,C1383,2023-10-13,Pending,Net Banking,8452.73,
ORD000156,C0454,2022-12-08,Delivered,Wallet,7419.55,4.0
ORD000157,C0742,2023-02-11,Delivered,UPI,4253.62,7.0
ORD000158,C0442,2023-05-25,Delivered,Wallet,534.29,2.0
ORD000159,C1028,2022-07-23,Delivered,Debit Card,9179.35,5.0
ORD000160,C1766,2022-02-13,Delivered,Wallet,415.92,10.0
ORD000161,C1883,2022-11-07,Delivered,UPI,2573.45,6.0
ORD000162,C0871,2022-09-20,Delivered,Credit Card,5093.38,5.0
ORD000163,C1986,2024-08-23,Delivered,UPI,9776.45,9.0
ORD000164,C1464,2022-02-25,Delivered,Debit Card,3582.28,4.0
ORD000165,C1772,2024-09-30,Delivered,UPI,15093.9,4.0
ORD000166,C1547,2024-09-27,Returned,Credit Card,16762.43,
ORD000167,C0341,2023-02-09,Delivered,UPI,11464.67,5.0
ORD000168,C1071,2022-06-15,Delivered,Net Banking,10461.12,1.0
ORD000169,C0651,2024-05-02,Delivered,Debit Card,1320.19,4.0
ORD000170,C1422,2022-07-12,Delivered,UPI,9996.04,6.0
ORD000171,C1279,2024-04-05,Delivered,Wallet,4034.19,2.0
ORD000172,C0260,2024-12-05,Delivered,UPI,4354.0,2.0
ORD000173,C1835,2022-01-27,Delivered,Credit Card,8920.75,4.0
ORD000174,C1148,2024-03-16,Delivered,Net Banking,9006.04,5.0
ORD000175,C1404,2022-03-03,Delivered,Credit Card,12951.31,4.0
ORD000176,C0906,2024-01-10,Delivered,Credit Card,6605.51,10.0
ORD000177,C1687,2022-03-04,Delivered,Debit Card,2548.15,2.0
ORD000178,C0860,2022-03-03,Delivered,Wallet,800.39,5.0
ORD000179,C1747,2022-04-10,Cancelled,Credit Card,7016.63,
ORD000180,C0565,2022-11-08,Delivered,Wallet,2637.1,6.0
ORD000181,C0242,2022-06-24,Delivered,Credit Card,4524.56,4.0
ORD000182,C1307,2024-02-07,Delivered,Debit Card,8804.85,5.0
ORD000183,C1810,2023-02-13,Cancelled,UPI,7461.12,
ORD000184,C0715,2022-11-25,Returned,Debit Card,12629.8,
ORD000185,C0529,2023-03-23,Delivered,Credit Card,5146.4,6.0
ORD000186,C1781,2022-01-17,Delivered,UPI,602.89,5.0
ORD000187,C0334,2024-08-14,Returned,Debit Card,14359.29,
ORD000188,C1563,2024-11-04,Delivered,Wallet,209.9,7.0
ORD000189,C1215,2022-02-28,Delivered,Wallet,5294.8,3.0
ORD000190,C0267,2022-12-06,Delivered,Debit Card,11660.61,4.0
ORD000191,C1809,2022-12-19,Delivered,Wallet,10174.28,6.0
ORD000192,C0011,2022-09-02,Cancelled,Net Banking,7631.43,
ORD000193,C1369,2024-02-10,Cancelled,Wallet,9490.07,
ORD000194,C0147,2023-12-12,Delivered,Debit Card,8284.46,1.0
ORD000195,C0433,2023-09-11,Delivered,Net Banking,13646.32,9.0
ORD000196,C1709,2022-08-06,Delivered,Net Banking,8658.36,7.0
ORD000197,C1580,2022-04-22,Delivered,Debit Card,8027.71,7.0
ORD000198,C1089,2022-07-16,Cancelled,Wallet,432.39,
ORD000199,C0529,2023-02-09,Cancelled,Credit Card,13761.98,
ORD000200,C1112,2023-07-02,Delivered,Credit Card,8693.44,10.0
ORD000201,C0229,2022-07-02,Delivered,Credit Card,4858.17,9.0
ORD000202,C0194,2022-09-16,Delivered,Debit Card,9509.51,9.0
ORD000203,C1166,2024-07-27,Delivered,Debit Card,3694.72,10.0
ORD000204,C1483,2022-07-27,Cancelled,Net Banking,8898.4,
ORD000205,C1977,2022-08-27,Delivered,Credit Card,1849.44,6.0
ORD000206,C1175,2024-08-26,Delivered,Debit Card,3599.85,5.0
ORD000207,C0559,2022-01-11,Delivered,Wallet,15239.88,5.0
ORD000208,C1492,2022-12-31,Delivered,Debit Card,7869.17,7.0
ORD000209,C0524,2024-04-05,Delivered,Wallet,204.83,6.0
ORD000210,C0171,2022-04-17,Delivered,Net Banking,16746.1,4.0
ORD000211,C0769,2022-09-27,Delivered,UPI,10692.79,4.0
ORD000212,C0857,2022-11-03,Delivered,Net Banking,8861.95,5.0
ORD000213,C1692,2022-08-19,Delivered,Debit Card,7764.53,2.0
ORD000214,C0786,2024-05-06,Delivered,Debit Card,5659.99,10.0
ORD000215,C1282,2024-08-24,Delivered,Net Banking,1356.67,9.0
ORD000216,C1048,2022-04-09,Delivered,UPI,3383.76,2.0
ORD000217,C1832,2022-01-16,Delivered,Debit Card,2016.7,8.0
ORD000218,C1025,2022-11-25,Delivered,Credit Card,1103.58,1.0
ORD000219,C1534,2022-03-08,Delivered,Net Banking,6306.0,1.0
ORD000220,C0745,2022-07-24,Returned,Debit Card,17282.42,
ORD000221,C0542,2022-07-18,Delivered,Net Banking,2649.54,5.0
ORD000222,C1164,2023-07-18,Delivered,Net Banking,11981.1,5.0
ORD000223,C0317,2022-09-21,Delivered,Wallet,2175.29,5.0
ORD000224,C0304,2022-01-25,Delivered,Wallet,8242.74,6.0
ORD000225,C1072,2024-02-06,Delivered,Debit Card,12904.72,5.0
ORD000226,C1247,2022-03-03,Delivered,Wallet,5532.82,4.0
ORD000227,C1519,2022-04-14,Pending,Credit Card,5112.14,
ORD000228,C0915,2024-12-06,Delivered,Net Banking,4947.96,3.0
ORD000229,C0083,2022-11-08,Cancelled,Credit Card,6513.77,
ORD000230,C0426,2023-04-12,Delivered,Credit Card,4600.44,4.0
ORD000231,C0980,2022-08-27,Returned,Net Banking,9252.58,
ORD000232,C1593,2022-11-26,Delivered,Debit Card,2753.38,6.0
ORD000233,C1039,2024-09-16,Delivered,Wallet,12458.89,8.0
ORD000234,C1016,2022-12-01,Delivered,Wallet,7346.74,3.0
ORD000235,C0397,2022-08-11,Delivered,UPI,9988.81,10.0
ORD000236,C0431,2022-10-20,Delivered,Wallet,3463.4,3.0
ORD000237,C0667,2022-09-22,Delivered,UPI,11791.47,8.0
ORD000238,C0631,2024-05-21,Delivered,UPI,14218.47,1.0
ORD000239,C0660,2024-05-25,Delivered,Net Banking,7511.62,10.0
ORD000240,C0963,2022-04-05,Delivered,Debit Card,10189.96,2.0
ORD000241,C0665,2024-04-27,Cancelled,Wallet,6377.4,
ORD000242,C1120,2023-06-18,Cancelled,UPI,12945.91,
ORD000243,C0683,2023-02-12,Cancelled,Wallet,9840.07,
ORD000244,C0124,2024-11-15,Delivered,UPI,9962.54,2.0
ORD000245,C1505,2022-06-04,Delivered,Debit Card,12546.64,6.0
ORD000246,C0150,2023-01-08,Cancelled,Debit Card,14579.59,
ORD000247,C1197,2022-12-12,Delivered,Debit Card,4263.13,2.0
ORD000248,C0054,2022-10-01,Pending,Debit Card,7252.59,
ORD000249,C1582,2023-12-29,Pending,Net Banking,2599.14,
ORD000250,C0053,2024-06-28,Returned,Net Banking,6494.43,
ORD000251,C1209,2022-09-13,Delivered,Debit Card,467.48,2.0
ORD000252,C1927,2024-09-28,Delivered,Credit Card,9521.4,6.0
ORD000253,C0739,2022-06-08,Returned,Credit Card,5157.2,
ORD000254,C1333,2024-03-09,Delivered,Credit Card,7264.11,1.0
ORD000255,C1222,2023-03-06,Delivered,Credit Card,7751.01,3.0
ORD000256,C0062,2024-10-15,Delivered,Credit Card,7271.43,1.0
ORD000257,C0680,2022-02-28,Cancelled,Credit Card,5882.82,
ORD000258,C0231,2024-09-01,Delivered,Credit Card,12691.01,8.0
ORD000259,C1010,2022-10-20,Delivered,Credit Card,3836.66,2.0
ORD000260,C1469,2024-04-07,Delivered,Wallet,10376.46,9.0
ORD000261,C1183,2023-07-01,Delivered,Net Banking,3460.75,1.0
ORD000262,C1627,2023-02-10,Pending,UPI,3275.91,
ORD000263,C0024,2024-09-11,Delivered,Wallet,8273.77,6.0
ORD000264,C0691,2023-01-17,Delivered,UPI,14759.52,7.0
ORD000265,C1316,2022-02-22,Returned,Wallet,5623.89,
ORD000266,C0374,2022-07-23,Delivered,Credit Card,11337.35,3.0
ORD000267,C1301,2023-04-09,Delivered,Wallet,4573.45,7.0
ORD000268,C1831,2024-09-02,Delivered,Net Banking,8404.92,3.0
ORD000269,C1566,2023-05-12,Delivered,Wallet,10056.92,3.0
ORD000270,C0422,2024-06-27,Delivered,Wallet,3364.92,8.0
ORD000271,C0476,2024-06-16,Returned,UPI,7470.84,
ORD000272,C0232,2022-11-17,Returned,Net Banking,12177.03,
ORD000273,C0864,2022-04-27,Returned,Wallet,3099.03,
ORD000274,C0674,2024-05-09,Cancelled,Net Banking,14388.63,
ORD000275,C1364,2023-06-29,Delivered,Net Banking,6539.43,1.0
ORD000276,C1233,2022-02-25,Delivered,Net Banking,6491.28,1.0
ORD000277,C0443,2022-10-18,Returned,Net Banking,2003.34,
ORD000278,C1740,2023-06-04,Delivered,Debit Card,6180.25,4.0
ORD000279,C1144,2023-10-22,Delivered,UPI,9329.05,10.0
ORD000280,C1019,2023-01-17,Returned,UPI,6063.1,
ORD000281,C1862,2022-09-17,Cancelled,Net Banking,11797.26,
ORD000282,C0213,2023-08-25,Delivered,Debit Card,11679.22,8.0
ORD000283,C1327,2022-04-21,Delivered,Net Banking,6336.13,9.0
ORD000284,C1129,2023-01-29,Delivered,Debit Card,10619.73,6.0
ORD000285,C1107,2024-01-02,Delivered,Debit Card,2829.06,9.0
ORD000286,C1186,2022-09-21,Delivered,Credit Card,3697.38,10.0
ORD000287,C0467,2023-12-15,Delivered,Credit Card,11588.8,6.0
ORD000288,C0977,2022-12-28,Delivered,Credit Card,3796.76,10.0
ORD000289,C1006,2024-06-01,Delivered,Wallet,8555.39,9.0
ORD000290,C1938,2022-07-28,Delivered,UPI,1739.77,10.0
ORD000291,C0246,2022-05-26,Delivered,Net Banking,12144.37,10.0
ORD000292,C1436,2022-12-17,Delivered,UPI,10015.4,7.0
ORD000293,C0411,2023-04-10,Returned,Credit Card,2456.04,
ORD000294,C1399,2022-07-11,Delivered,Wallet,1155.38,1.0
ORD000295,C0010,2023-11-01,Delivered,Credit Card,10377.87,3.0
ORD000296,C1229,2024-02-06,Delivered,Debit Card,6499.05,2.0
ORD000297,C1020,2022-04-09,Delivered,Credit Card,7898.06,8.0
ORD000298,C1661,2022-07-22,Delivered,Net Banking,12883.44,2.0
ORD000299,C1005,2022-01-13,Delivered,Credit Card,12212.84,5.0
ORD000300,C1828,2022-12-22,Delivered,Net Banking,5945.9,9.0
ORD000301,C1074,2023-01-01,Delivered,Credit Card,10611.57,5.0
ORD000302,C0010,2023-05-08,Delivered,Wallet,5242.59,5.0
ORD000303,C1807,2024-05-15,Delivered,Net Banking,13507.96,1.0
ORD000304,C1426,2024-07-08,Delivered,Wallet,1316.41,6.0
ORD000305,C0343,2023-06-10,Delivered,Wallet,12091.92,1.0
ORD000306,C0961,2024-09-07,Pending,Net Banking,1553.27,
ORD000307,C0378,2022-06-21,Delivered,Net Banking,6367.4,3.0
ORD000308,C0906,2022-03-26,Delivered,Debit Card,10020.02,5.0
ORD000309,C1036,2022-05-11,Returned,Net Banking,6410.38,
ORD000310,C0143,2023-05-19,Delivered,Debit Card,11664.9,2.0
ORD000311,C1402,2022-04-30,Delivered,Net Banking,1055.11,10.0
ORD000312,C0246,2023-04-05,Delivered,Net Banking,923.38,10.0
ORD000313,C1321,2024-03-01,Delivered,Debit Card,8741.24,8.0
ORD000314,C1099,2022-07-04,Pending,Debit Card,3170.23,
ORD000315,C0754,2022-02-12,Returned,Net Banking,6600.16,
ORD000316,C0863,2022-08-02,Delivered,Wallet,8797.58,6.0
ORD000317,C1844,2024-08-06,Delivered,Wallet,16395.45,7.0
ORD000318,C0370,2024-06-26,Delivered,Debit Card,5731.08,5.0
ORD000319,C1528,2022-12-15,Delivered,Credit Card,8531.06,2.0
ORD000320,C0044,2022-01-05,Delivered,UPI,539.92,4.0
ORD000321,C1523,2022-03-19,Delivered,Net Banking,5128.16,8.0
ORD000322,C0694,2022-12-25,Delivered,Wallet,6280.51,7.0
ORD000323,C0325,2024-08-19,Delivered,Net Banking,11012.09,3.0
ORD000324,C1572,2022-02-10,Delivered,Wallet,9169.37,5.0
ORD000325,C1388,2024-03-17,Cancelled,Net Banking,3428.69,
ORD000326,C0033,2024-05-05,Delivered,Debit Card,4156.34,1.0
ORD000327,C1330,2023-05-05,Delivered,Debit Card,4790.88,10.0
ORD000328,C0022,2022-10-21,Delivered,Net Banking,7422.92,7.0
ORD000329,C0796,2022-03-15,Delivered,Wallet,7041.53,4.0
ORD000330,C1002,2022-05-25,Delivered,Debit Card,5584.23,6.0
ORD000331,C0134,2022-11-12,Delivered,Credit Card,12846.67,3.0
ORD000332,C0409,2022-02-11,Delivered,Credit Card,6781.29,7.0
ORD000333,C0657,2024-12-20,Delivered,Wallet,3948.97,1.0
ORD000334,C0907,2023-01-14,Delivered,Wallet,8377.32,5.0
ORD000335,C1232,2024-04-24,Delivered,Net Banking,8032.51,2.0
ORD000336,C1381,2024-07-02,Delivered,UPI,4867.58,10.0
ORD000337,C1389,2022-02-03,Returned,Net Banking,12343.81,
ORD000338,C0665,2024-04-05,Delivered,Credit Card,5504.82,7.0
ORD000339,C1621,2022-12-20,Delivered,UPI,6849.13,4.0
ORD000340,C0045,2024-10-15,Delivered,Credit Card,11770.39,2.0
ORD000341,C1952,2023-10-25,Delivered,Wallet,9411.94,7.0
ORD000342,C1253,2022-09-07,Delivered,UPI,22441.29,8.0
ORD000343,C1612,2023-07-29,Delivered,UPI,10801.66,9.0
ORD000344,C1804,2022-02-18,Delivered,UPI,20291.76,1.0
ORD000345,C0971,2022-05-07,Delivered,UPI,5312.6,6.0
ORD000346,C0993,2023-10-06,Delivered,Debit Card,6099.98,3.0
ORD000347,C0607,2022-02-21,Delivered,Debit Card,60.65,8.0
ORD000348,C1282,2024-02-22,Delivered,UPI,8981.24,3.0
ORD000349,C0646,2024-02-08,Delivered,Debit Card,7799.85,8.0
ORD000350,C0131,2022-02-04,Delivered,UPI,4336.03,6.0
ORD000351,C0693,2022-02-11,Delivered,UPI,9140.35,4.0
ORD000352,C0491,2022-04-26,Returned,UPI,4070.04,
ORD000353,C1009,2022-02-18,Delivered,Debit Card,3129.29,7.0
ORD000354,C0436,2022-11-08,Delivered,UPI,14893.67,8.0
ORD000355,C0060,2024-07-01,Delivered,UPI,9087.4,6.0
ORD000356,C0950,2022-04-22,Delivered,Debit Card,6861.25,6.0
ORD000357,C0423,2022-09-13,Delivered,Credit Card,9142.23,10.0
ORD000358,C0103,2022-01-23,Delivered,Debit Card,7888.27,7.0
ORD000359,C1520,2022-07-10,Cancelled,UPI,4528.26,
ORD000360,C1578,2022-03-13,Delivered,Debit Card,3632.49,2.0
ORD000361,C1883,2022-03-04,Delivered,Net Banking,12516.44,7.0
ORD000362,C0062,2022-03-18,Delivered,UPI,7386.12,1.0
ORD000363,C1375,2023-07-11,Delivered,Net Banking,1153.93,9.0
ORD000364,C1950,2024-09-27,Delivered,Net Banking,4782.45,9.0
ORD000365,C0336,2022-07-11,Cancelled,UPI,14021.67,
ORD000366,C1572,2023-08-22,Delivered,UPI,11185.61,3.0
ORD000367,C0682,2024-01-05,Pending,Debit Card,8415.03,
ORD000368,C1689,2022-12-21,Cancelled,UPI,5085.38,
ORD000369,C1499,2024-02-04,Delivered,Credit Card,12621.71,5.0
ORD000370,C0496,2024-04-11,Delivered,Credit Card,3391.35,2.0
ORD000371,C0520,2024-07-15,Delivered,Credit Card,1362.98,10.0
ORD000372,C0615,2023-12-04,Delivered,Net Banking,5990.84,7.0
ORD000373,C1542,2022-07-20,Delivered,UPI,2491.46,4.0
ORD000374,C1237,2022-08-29,Delivered,Net Banking,3786.64,4.0
ORD000375,C1257,2024-04-20,Delivered,Credit Card,1300.8,9.0
ORD000376,C0911,2022-05-22,Delivered,Wallet,5764.63,6.0
ORD000377,C0874,2022-02-26,Returned,Debit Card,5977.48,
ORD000378,C1583,2024-02-11,Delivered,Wallet,3671.97,8.0
ORD000379,C0469,2022-08-16,Returned,Wallet,2166.7,
ORD000380,C1153,2022-02-18,Delivered,Credit Card,14283.44,5.0
ORD000381,C1798,2022-12-07,Delivered,Debit Card,5803.42,4.0
ORD000382,C0914,2024-02-04,Delivered,Credit Card,5508.45,2.0
ORD000383,C1075,2023-06-29,Delivered,Wallet,17666.32,2.0
ORD000384,C0300,2022-12-08,Returned,Debit Card,2946.16,
ORD000385,C1284,2024-04-26,Delivered,UPI,4494.58,7.0
ORD000386,C0922,2023-04-06,Returned,Wallet,3796.11,
ORD000387,C0590,2024-10-15,Delivered,Wallet,1386.02,2.0
ORD000388,C1443,2022-10-26,Delivered,Net Banking,4591.8,6.0
ORD000389,C0622,2023-11-01,Delivered,UPI,7515.85,9.0
ORD000390,C1059,2022-05-09,Returned,UPI,4193.84,
