order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
OI000125,ORD000042,P0134,2,1612.09,0.19,2611.59
OI000126,ORD000042,P0001,1,505.78,0.01,500.72
OI000127,ORD000042,P0116,2,1491.79,0.13,2595.71
OI000128,ORD000043,P0090,2,951.73,0.29,1351.46
OI000129,ORD000043,P0054,1,761.66,0.11,677.88
OI000130,ORD000044,P0032,3,1981.16,0.25,4457.61
OI000131,ORD000044,P0128,4,1474.09,0.16,4952.94
OI000132,ORD000044,P0117,3,633.61,0.03,1843.81
OI000133,ORD000044,P0106,2,1328.66,0.14,2285.3
OI000134,ORD000044,P0091,3,1366.9,0.05,3895.67
OI000135,ORD000045,P0073,1,1753.25,0.03,1700.65
OI000136,ORD000045,P0112,1,1848.46,0.18,1515.74
OI000137,ORD000045,P0026,4,1128.49,0.03,4378.54
OI000138,ORD000045,P0023,1,1978.69,0.19,1602.74
OI000139,ORD000046,P0108,4,68.15,0.17,226.26
OI000140,ORD000046,P0055,1,1472.51,0.06,1384.16
OI000141,ORD000046,P0058,4,932.67,0.29,2648.78
OI000142,ORD000047,P0096,2,909.32,0.15,1545.84
OI000143,ORD000048,P0002,1,775.48,0.0,775.48
OI000144,ORD000048,P0107,2,1888.98,0.24,2871.25
OI000145,ORD000049,P0147,2,252.88,0.17,419.78
OI000146,ORD000049,P0111,4,1593.13,0.06,5990.17
OI000147,ORD000050,P0100,4,171.92,0.27,502.01
OI000148,ORD000050,P0045,2,492.08,0.13,856.22
OI000149,ORD000051,P0101,2,1715.63,0.03,3328.32
OI000150,ORD000051,P0067,1,776.81,0.13,675.82
OI000151,ORD000051,P0142,2,1447.88,0.01,2866.8
OI000152,ORD000051,P0041,1,757.74,0.17,628.92
OI000153,ORD000051,P0083,1,1520.74,0.22,1186.18
OI000154,ORD000052,P0062,3,1941.28,0.06,5474.41
OI000155,ORD000052,P0057,2,1079.02,0.22,1683.27
OI000156,ORD000053,P0022,1,1818.43,0.03,1763.88
OI000157,ORD000053,P0037,1,1026.94,0.03,996.13
OI000158,ORD000053,P0006,3,1984.86,0.08,5478.21
OI000159,ORD000054,P0093,4,667.21,0.24,2028.32
OI000160,ORD000054,P0054,4,761.66,0.02,2985.71
OI000161,ORD000054,P0101,1,1715.63,0.06,1612.69
OI000162,ORD000054,P0026,4,1128.49,0.11,4017.42
OI000163,ORD000055,P0047,1,650.06,0.27,474.54
OI000164,ORD000055,P0077,1,1499.97,0.04,1439.97
OI000165,ORD000056,P0134,1,1612.09,0.06,1515.36
OI000166,ORD000056,P0066,1,982.36,0.16,825.18
OI000167,ORD000057,P0094,2,1672.49,0.01,3311.53
OI000168,ORD000057,P0030,2,1251.58,0.07,2327.94
OI000169,ORD000058,P0024,3,1917.9,0.14,4948.18
OI000170,ORD000058,P0090,4,951.73,0.13,3312.02
OI000171,ORD000059,P0072,1,1415.08,0.18,1160.37
OI000172,ORD000059,P0101,3,1715.63,0.05,4889.55
OI000173,ORD000060,P0070,4,303.26,0.06,1140.26
OI000174,ORD000060,P0082,3,1630.6,0.11,4353.7
OI000175,ORD000060,P0028,1,653.5,0.13,568.54
OI000176,ORD000060,P0099,1,894.17,0.29,634.86
OI000177,ORD000061,P0136,2,1795.46,0.24,2729.1
OI000178,ORD000061,P0091,4,1366.9,0.24,4155.38
OI000179,ORD000061,P0102,3,1218.28,0.07,3399.0
OI000180,ORD000061,P0008,2,338.03,0.2,540.85
OI000181,ORD000061,P0030,3,1251.58,0.04,3604.55
OI000182,ORD000062,P0085,2,593.32,0.14,1020.51
OI000183,ORD000063,P0073,1,1753.25,0.17,1455.2
OI000184,ORD000063,P0055,1,1472.51,0.17,1222.18
OI000185,ORD000063,P0135,4,1312.72,0.2,4200.7
OI000186,ORD000063,P0056,4,1526.24,0.1,5494.46
OI000187,ORD000064,P0127,4,1657.49,0.01,6563.66
OI000188,ORD000065,P0044,1,1627.29,0.09,1480.83
OI000189,ORD000065,P0084,1,1257.41,0.27,917.91
OI000190,ORD000065,P0099,3,894.17,0.04,2575.21
OI000191,ORD000065,P0061,4,1453.44,0.01,5755.62
OI000192,ORD000066,P0018,4,78.55,0.03,304.77
OI000193,ORD000067,P0103,3,1571.88,0.15,4008.29
OI000194,ORD000067,P0021,1,1547.1,0.12,1361.45
OI000195,ORD000067,P0143,4,982.37,0.15,3340.06
OI000196,ORD000068,P0058,1,932.67,0.25,699.5
OI000197,ORD000069,P0058,3,932.67,0.24,2126.49
OI000198,ORD000069,P0044,1,1627.29,0.28,1171.65
OI000199,ORD000069,P0023,1,1978.69,0.08,1820.39
OI000200,ORD000069,P0049,1,259.87,0.03,252.07
OI000201,ORD000070,P0098,4,1271.22,0.04,4881.48
OI000202,ORD000070,P0070,3,303.26,0.26,673.24
OI000203,ORD000070,P0044,4,1627.29,0.19,5272.42
OI000204,ORD000070,P0036,1,676.86,0.16,568.56
OI000205,ORD000070,P0150,2,973.54,0.17,1616.08
OI000206,ORD000071,P0124,3,647.08,0.23,1494.75
OI000207,ORD000071,P0058,1,932.67,0.11,830.08
OI000208,ORD000071,P0024,2,1917.9,0.2,3068.64
OI000209,ORD000072,P0055,1,1472.51,0.2,1178.01
OI000210,ORD000073,P0088,2,1975.36,0.24,3002.55
OI000211,ORD000074,P0117,1,633.61,0.27,462.54
OI000212,ORD000074,P0040,2,129.25,0.28,186.12
OI000213,ORD000074,P0130,4,1100.41,0.29,3125.16
OI000214,ORD000075,P0049,2,259.87,0.21,410.59
OI000215,ORD000075,P0018,1,78.55,0.04,75.41
OI000216,ORD000075,P0072,1,1415.08,0.22,1103.76
OI000217,ORD000075,P0109,2,567.91,0.0,1135.82
OI000218,ORD000076,P0136,1,1795.46,0.28,1292.73
OI000219,ORD000076,P0116,1,1491.79,0.11,1327.69
OI000220,ORD000076,P0091,2,1366.9,0.05,2597.11
OI000221,ORD000076,P0068,4,78.67,0.15,267.48
OI000222,ORD000077,P0013,4,1101.37,0.22,3436.27
OI000223,ORD000078,P0046,4,1377.83,0.03,5345.98
OI000224,ORD000078,P0071,1,242.29,0.19,196.25
OI000225,ORD000078,P0136,1,1795.46,0.07,1669.78
OI000226,ORD000078,P0127,1,1657.49,0.27,1209.97
OI000227,ORD000079,P0026,4,1128.49,0.03,4378.54
OI000228,ORD000079,P0071,3,242.29,0.15,617.84
OI000229,ORD000079,P0058,2,932.67,0.24,1417.66
OI000230,ORD000079,P0104,3,1595.67,0.19,3877.48
OI000231,ORD000079,P0101,3,1715.63,0.22,4014.57
OI000232,ORD000080,P0062,1,1941.28,0.05,1844.22
OI000233,ORD000080,P0044,3,1627.29,0.27,3563.77
OI000234,ORD000080,P0081,2,978.08,0.29,1388.87
OI000235,ORD000081,P0068,2,78.67,0.2,125.87
OI000236,ORD000081,P0020,1,1383.79,0.18,1134.71
OI000237,ORD000082,P0064,1,775.8,0.17,643.91
OI000238,ORD000082,P0121,3,1081.2,0.25,2432.7
OI000239,ORD000082,P0029,2,784.48,0.23,1208.1
OI000240,ORD000082,P0012,1,1343.89,0.03,1303.57
OI000241,ORD000083,P0066,1,982.36,0.25,736.77
OI000242,ORD000083,P0125,3,1993.73,0.21,4725.14
OI000243,ORD000083,P0065,4,1544.83,0.03,5993.94
OI000244,ORD000083,P0094,1,1672.49,0.04,1605.59
OI000245,ORD000083,P0118,4,133.15,0.26,394.12
OI000246,ORD000084,P0148,3,55.82,0.06,157.41
OI000247,ORD000084,P0111,1,1593.13,0.06,1497.54
OI000248,ORD000085,P0116,3,1491.79,0.12,3938.33
OI000249,ORD000085,P0135,4,1312.72,0.28,3780.63
OI000250,ORD000085,P0045,3,492.08,0.09,1343.38
OI000251,ORD000085,P0068,1,78.67,0.17,65.3
OI000252,ORD000085,P0090,3,951.73,0.25,2141.39
OI000253,ORD000086,P0089,2,1209.94,0.14,2081.1
OI000254,ORD000086,P0074,2,611.42,0.16,1027.19
OI000255,ORD000086,P0029,3,784.48,0.19,1906.29
OI000256,ORD000086,P0003,2,793.17,0.09,1443.57
OI000257,ORD000086,P0128,3,1474.09,0.02,4333.82
OI000258,ORD000087,P0073,1,1753.25,0.15,1490.26
OI000259,ORD000087,P0032,1,1981.16,0.13,1723.61
OI000260,ORD000088,P0073,2,1753.25,0.29,2489.61
OI000261,ORD000088,P0129,3,980.13,0.04,2822.77
OI000262,ORD000088,P0144,2,1492.95,0.13,2597.73
OI000263,ORD000089,P0091,4,1366.9,0.29,3882.0
OI000264,ORD000089,P0064,1,775.8,0.27,566.33
OI000265,ORD000089,P0099,3,894.17,0.18,2199.66
OI000266,ORD000089,P0109,2,567.91,0.17,942.73
OI000267,ORD000090,P0052,2,613.17,0.12,1079.18
OI000268,ORD000090,P0065,2,1544.83,0.09,2811.59
OI000269,ORD000091,P0047,4,650.06,0.21,2054.19
OI000270,ORD000091,P0097,3,832.12,0.14,2146.87
OI000271,ORD000091,P0112,4,1848.46,0.14,6358.7
OI000272,ORD000091,P0025,4,342.42,0.14,1177.92
OI000273,ORD000091,P0036,1,676.86,0.29,480.57
OI000274,ORD000092,P0078,2,1974.18,0.19,3198.17
OI000275,ORD000092,P0063,3,1975.17,0.02,5807.0
OI000276,ORD000092,P0149,4,1390.51,0.04,5339.56
OI000277,ORD000092,P0132,1,1395.79,0.14,1200.38
OI000278,ORD000092,P0096,4,909.32,0.25,2727.96
OI000279,ORD000093,P0086,1,69.04,0.25,51.78
OI000280,ORD000094,P0032,1,1981.16,0.21,1565.12
OI000281,ORD000095,P0058,3,932.67,0.19,2266.39
OI000282,ORD000095,P0040,1,129.25,0.24,98.23
OI000283,ORD000096,P0040,1,129.25,0.16,108.57
OI000284,ORD000097,P0130,4,1100.41,0.12,3873.44
OI000285,ORD000098,P0061,3,1453.44,0.25,3270.24
OI000286,ORD000098,P0140,4,1948.58,0.26,5767.8
OI000287,ORD000099,P0048,2,988.37,0.25,1482.56
OI000288,ORD000100,P0052,4,613.17,0.11,2182.89
OI000289,ORD000100,P0122,3,445.62,0.12,1176.44
OI000290,ORD000100,P0123,1,300.28,0.14,258.24
OI000291,ORD000100,P0075,4,622.88,0.04,2391.86
OI000292,ORD000100,P0026,3,1128.49,0.14,2911.5
OI000293,ORD000101,P0114,1,879.55,0.27,642.07
OI000294,ORD000102,P0003,2,793.17,0.1,1427.71
OI000295,ORD000102,P0041,4,757.74,0.15,2576.32
OI000296,ORD000102,P0092,2,1333.51,0.2,2133.62
OI000297,ORD000103,P0072,4,1415.08,0.02,5547.11
OI000298,ORD000103,P0078,4,1974.18,0.11,7028.08
OI000299,ORD000104,P0130,3,1100.41,0.18,2707.01
OI000300,ORD000104,P0135,4,1312.72,0.02,5145.86
OI000301,ORD000104,P0067,1,776.81,0.26,574.84
OI000302,ORD000104,P0034,2,1849.86,0.07,3440.74
OI000303,ORD000104,P0083,1,1520.74,0.15,1292.63
OI000304,ORD000105,P0027,4,1878.46,0.23,5785.66
OI000305,ORD000105,P0045,4,492.08,0.28,1417.19
OI000306,ORD000106,P0010,1,693.88,0.13,603.68
OI000307,ORD000107,P0083,4,1520.74,0.11,5413.83
OI000308,ORD000107,P0028,2,653.5,0.06,1228.58
OI000309,ORD000108,P0052,4,613.17,0.24,1864.04
OI000310,ORD000108,P0042,2,1481.12,0.03,2873.37
OI000311,ORD000109,P0002,4,775.48,0.17,2574.59
OI000312,ORD000109,P0093,1,667.21,0.1,600.49
OI000313,ORD000110,P0122,2,445.62,0.24,677.34
OI000314,ORD000110,P0129,4,980.13,0.13,3410.85
OI000315,ORD000110,P0091,4,1366.9,0.26,4046.02
OI000316,ORD000110,P0092,1,1333.51,0.04,1280.17
OI000317,ORD000110,P0144,3,1492.95,0.03,4344.48
OI000318,ORD000111,P0085,4,593.32,0.21,1874.89
OI000319,ORD000111,P0006,1,1984.86,0.26,1468.8
OI000320,ORD000111,P0058,2,932.67,0.29,1324.39
OI000321,ORD000111,P0075,1,622.88,0.16,523.22
OI000322,ORD000111,P0065,2,1544.83,0.26,2286.35
OI000323,ORD000112,P0015,3,45.95,0.2,110.28
OI000324,ORD000112,P0140,1,1948.58,0.1,1753.72
OI000325,ORD000112,P0029,3,784.48,0.06,2212.23
OI000326,ORD000112,P0150,1,973.54,0.04,934.6
OI000327,ORD000112,P0121,3,1081.2,0.28,2335.39
OI000328,ORD000113,P0010,4,693.88,0.28,1998.37
OI000329,ORD000113,P0089,3,1209.94,0.22,2831.26
OI000330,ORD000113,P0019,1,105.03,0.01,103.98
OI000331,ORD000113,P0107,2,1888.98,0.2,3022.37
OI000332,ORD000113,P0021,4,1547.1,0.14,5322.02
OI000333,ORD000114,P0051,4,1446.13,0.2,4627.62
OI000334,ORD000115,P0100,4,171.92,0.21,543.27
OI000335,ORD000116,P0113,1,1488.51,0.27,1086.61
OI000336,ORD000117,P0112,2,1848.46,0.03,3586.01
OI000337,ORD000117,P0015,1,45.95,0.07,42.73
OI000338,ORD000117,P0061,1,1453.44,0.3,1017.41
OI000339,ORD000118,P0020,1,1383.79,0.04,1328.44
OI000340,ORD000119,P0063,4,1975.17,0.14,6794.58
OI000341,ORD000119,P0075,1,622.88,0.2,498.3
OI000342,ORD000119,P0034,1,1849.86,0.08,1701.87
OI000343,ORD000120,P0057,3,1079.02,0.23,2492.54
OI000344,ORD000120,P0114,3,879.55,0.26,1952.6
OI000345,ORD000120,P0078,2,1974.18,0.16,3316.62
OI000346,ORD000121,P0027,3,1878.46,0.02,5522.67
OI000347,ORD000121,P0014,2,946.87,0.25,1420.31
OI000348,ORD000121,P0089,2,1209.94,0.09,2202.09
OI000349,ORD000121,P0106,2,1328.66,0.04,2551.03
OI000350,ORD000121,P0125,2,1993.73,0.01,3947.59
OI000351,ORD000122,P0030,3,1251.58,0.08,3454.36
OI000352,ORD000122,P0006,4,1984.86,0.09,7224.89
OI000353,ORD000122,P0128,1,1474.09,0.02,1444.61
OI000354,ORD000122,P0009,4,155.66,0.15,529.24
OI000355,ORD000123,P0058,2,932.67,0.11,1660.15
OI000356,ORD000124,P0139,3,1362.1,0.28,2942.14
OI000357,ORD000125,P0056,1,1526.24,0.24,1159.94
OI000358,ORD000125,P0008,4,338.03,0.29,960.01
OI000359,ORD000125,P0088,3,1975.36,0.26,4385.3
OI000360,ORD000125,P0112,4,1848.46,0.13,6432.64
OI000361,ORD000125,P0110,3,254.97,0.05,726.66
OI000362,ORD000126,P0004,3,1766.29,0.03,5139.9
OI000363,ORD000126,P0072,2,1415.08,0.23,2179.22
OI000364,ORD000127,P0071,3,242.29,0.08,668.72
OI000365,ORD000128,P0079,3,1549.75,0.25,3486.94
OI000366,ORD000129,P0113,1,1488.51,0.14,1280.12
OI000367,ORD000130,P0015,3,45.95,0.29,97.87
OI000368,ORD000130,P0149,4,1390.51,0.05,5283.94
OI000369,ORD000130,P0021,3,1547.1,0.08,4270.0
OI000370,ORD000130,P0071,4,242.29,0.04,930.39
OI000371,ORD000131,P0030,2,1251.58,0.21,1977.5
OI000372,ORD000131,P0010,4,693.88,0.17,2303.68
OI000373,ORD000132,P0067,3,776.81,0.0,2330.43
OI000374,ORD000133,P0061,4,1453.44,0.03,5639.35
OI000375,ORD000133,P0090,1,951.73,0.07,885.11
OI000376,ORD000133,P0028,3,653.5,0.17,1627.21
OI000377,ORD000133,P0020,4,1383.79,0.02,5424.46
OI000378,ORD000133,P0130,4,1100.41,0.26,3257.21
OI000379,ORD000134,P0105,3,938.94,0.19,2281.62
OI000380,ORD000134,P0096,2,909.32,0.11,1618.59
OI000381,ORD000134,P0121,3,1081.2,0.28,2335.39
OI000382,ORD000135,P0081,3,978.08,0.28,2112.65
OI000383,ORD000135,P0131,4,1517.85,0.25,4553.55
OI000384,ORD000136,P0021,4,1547.1,0.16,5198.26
OI000385,ORD000136,P0020,1,1383.79,0.25,1037.84
OI000386,ORD000136,P0058,1,932.67,0.18,764.79
OI000387,ORD000136,P0145,4,932.71,0.1,3357.76
OI000388,ORD000137,P0063,4,1975.17,0.09,7189.62
OI000389,ORD000137,P0093,1,667.21,0.21,527.1
OI000390,ORD000137,P0060,4,317.9,0.22,991.85
OI000391,ORD000138,P0130,4,1100.41,0.24,3345.25
OI000392,ORD000138,P0020,2,1383.79,0.17,2297.09
OI000393,ORD000138,P0093,2,667.21,0.28,960.78
OI000394,ORD000138,P0124,2,647.08,0.23,996.5
OI000395,ORD000138,P0059,4,966.88,0.2,3094.02
OI000396,ORD000139,P0081,4,978.08,0.13,3403.72
OI000397,ORD000139,P0031,2,610.05,0.17,1012.68
OI000398,ORD000139,P0021,2,1547.1,0.27,2258.77
OI000399,ORD000140,P0068,2,78.67,0.26,116.43
OI000400,ORD000140,P0142,4,1447.88,0.01,5733.6
OI000401,ORD000140,P0121,2,1081.2,0.3,1513.68
OI000402,ORD000140,P0026,2,1128.49,0.15,1918.43
OI000403,ORD000141,P0091,2,1366.9,0.21,2159.7
OI000404,ORD000141,P0033,1,1203.74,0.1,1083.37
OI000405,ORD000141,P0103,3,1571.88,0.18,3866.82
OI000406,ORD000141,P0143,1,982.37,0.3,687.66
OI000407,ORD000142,P0105,4,938.94,0.21,2967.05
OI000408,ORD000142,P0116,2,1491.79,0.22,2327.19
OI000409,ORD000142,P0112,1,1848.46,0.05,1756.04
OI000410,ORD000142,P0075,1,622.88,0.18,510.76
OI000411,ORD000143,P0046,2,1377.83,0.09,2507.65
OI000412,ORD000143,P0131,3,1517.85,0.01,4508.01
OI000413,ORD000143,P0072,4,1415.08,0.09,5150.89
OI000414,ORD000143,P0025,4,342.42,0.1,1232.71
OI000415,ORD000144,P0133,1,203.67,0.1,183.3
OI000416,ORD000144,P0072,2,1415.08,0.04,2716.95
OI000417,ORD000144,P0148,3,55.82,0.15,142.34
OI000418,ORD000144,P0081,2,978.08,0.27,1428.0
OI000419,ORD000145,P0072,1,1415.08,0.06,1330.18
OI000420,ORD000145,P0037,2,1026.94,0.01,2033.34
OI000421,ORD000146,P0126,1,590.08,0.11,525.17
OI000422,ORD000147,P0033,4,1203.74,0.27,3514.92
OI000423,ORD000147,P0117,4,633.61,0.08,2331.68
OI000424,ORD000147,P0076,2,1276.0,0.3,1786.4
OI000425,ORD000147,P0029,1,784.48,0.29,556.98
OI000426,ORD000147,P0031,1,610.05,0.22,475.84
OI000427,ORD000148,P0086,3,69.04,0.27,151.2
OI000428,ORD000148,P0071,1,242.29,0.13,210.79
OI000429,ORD000148,P0117,3,633.61,0.06,1786.78
OI000430,ORD000148,P0132,1,1395.79,0.28,1004.97
OI000431,ORD000148,P0019,1,105.03,0.07,97.68
OI000432,ORD000149,P0068,2,78.67,0.15,133.74
OI000433,ORD000149,P0121,2,1081.2,0.22,1686.67
OI000434,ORD000150,P0133,2,203.67,0.0,407.34
OI000435,ORD000151,P0010,3,693.88,0.18,1706.94
OI000436,ORD000151,P0108,2,68.15,0.19,110.4
OI000437,ORD000152,P0060,4,317.9,0.24,966.42
OI000438,ORD000152,P0075,4,622.88,0.18,2043.05
OI000439,ORD000152,P0125,4,1993.73,0.09,7257.18
OI000440,ORD000153,P0115,1,184.48,0.05,175.26
OI000441,ORD000153,P0084,3,1257.41,0.2,3017.78
OI000442,ORD000153,P0064,3,775.8,0.21,1838.65
OI000443,ORD000153,P0109,2,567.91,0.23,874.58
OI000444,ORD000154,P0008,3,338.03,0.15,861.98
OI000445,ORD000154,P0075,4,622.88,0.02,2441.69
OI000446,ORD000155,P0101,3,1715.63,0.27,3757.23
OI000447,ORD000155,P0114,3,879.55,0.15,2242.85
OI000448,ORD000155,P0109,2,567.91,0.1,1022.24
OI000449,ORD000155,P0103,1,1571.88,0.09,1430.41
OI000450,ORD000156,P0053,1,1726.23,0.29,1225.62
OI000451,ORD000156,P0029,1,784.48,0.24,596.2
OI000452,ORD000156,P0085,1,593.32,0.23,456.86
OI000453,ORD000156,P0034,3,1849.86,0.27,4051.19
OI000454,ORD000156,P0139,1,1362.1,0.2,1089.68
OI000455,ORD000157,P0138,2,1359.85,0.09,2474.93
OI000456,ORD000157,P0102,2,1218.28,0.27,1778.69
OI000457,ORD000158,P0010,1,693.88,0.23,534.29
OI000458,ORD000159,P0011,1,31.37,0.07,29.17
OI000459,ORD000159,P0041,2,757.74,0.01,1500.33
OI000460,ORD000159,P0073,1,1753.25,0.24,1332.47
